,file_name,type,name,label,desc,texPath,Neutroamine,BOR_Tenebrite,ComponentSpacer,BOR_ComponentIII,BOR_QuasarAlloyWeave,BOR_MedicineI,BOR_QuasarAlloy,BOR_Sunweave,BOR_Sunsteel,BOR_MedicineII,BOR_ComponentII,Plasteel,MedicineUltratech,Uranium
0,..\Common\Defs\BodyPartDefs\Tier1\Bodyparts.xml,ThingDef,BOR_SolarBionicEye,solar eye,"An advanced artificial eye. With its biogel nerve-link, internal signal pre-processor, and wide-spectrum sensors, it is better than a biological eye in almost every way. A lattice-dust healing system allows it to recover from damage.",,0,0,4,0,0,0,0,0,15,0,0,0,0,0
1,..\Common\Defs\BodyPartDefs\Tier1\Bodyparts.xml,ThingDef,BOR_SolarBionicArm,solar arm,"An advanced artificial arm. Silenced mini-servos give great strength, while the biogel nerve-link gives exquisite control. A lattice-dust healing system allows it to recover from damage. It is better than a biological arm in almost every way.",,0,0,4,0,0,0,0,0,15,0,0,0,0,0
2,..\Common\Defs\BodyPartDefs\Tier1\Bodyparts.xml,ThingDef,BOR_SolarBionicLeg,solar leg,"An advanced artificial leg. With its biogel nerve-link, powerful mini-servos, and lattice-dust healing system, it is better than a biological leg in almost every way.",,0,0,4,0,0,0,0,0,15,0,0,0,0,0
3,..\Common\Defs\BodyPartDefs\Tier1\Bodyparts.xml,ThingDef,BOR_SolarBionicSpine,solar spine,"An advanced artificial spine. A biogel nerve bundle runs down an articulated plasteel core, surrounded by a lattice-dust healing system. It matches the performance of a biological spine.",,0,0,4,0,0,0,0,0,15,0,0,0,0,0
4,..\Common\Defs\BodyPartDefs\Tier1\Bodyparts.xml,ThingDef,BOR_SolarBionicHeart,solar heart,"An advanced artificial heart. It has synthetic muscle fibers for a realistic heartbeat, plus a high-flow pump for rapid circulation during high stress. It is better than a biological heart in almost every way.",,0,0,4,0,0,0,0,0,15,0,0,0,0,0
5,..\Common\Defs\BodyPartDefs\Tier1\Bodyparts.xml,ThingDef,BOR_SolarBionicStomach,solar stomach,"An advanced artificial stomach with sensors and chemical synthesizers that efficiently digest nearly any energy-bearing foodstuff. A person with this has a much lower chance of getting food poisoning, and is immune to some stomach diseases. An integrated lattice-dust healing system automatically repairs any damage to the artificial organ. It is better than a biological stomach in almost every way.",,0,0,3,0,0,0,0,0,10,0,0,0,0,0
6,..\Common\Defs\BodyPartDefs\Tier1\Bodyparts.xml,ThingDef,BOR_SolarBionicEar,solar ear,"An advanced artificial ear implant. A collection of invisible subdermal microphones capture sound and transmit it to a biogel nerve interface that links directly with the auditory nerve. It's sensitive enough to hear a cat before you see it, can't be damaged by loud noise, and automatically tunes itself to pick out meaningful sounds in noisy environments.",,0,0,3,0,0,0,0,0,10,0,0,0,0,0
7,..\Common\Defs\BodyPartDefs\Tier1\Bodyparts.xml,ThingDef,BOR_SolarBionicTongue,solar tongue,"An artificial tongue replacement. Made of synthetic smooth-fibers and connected through a neurogel interface, it can match the performance of a natural tongue in speaking, eating, and tasting.",,0,0,2,0,0,0,0,0,8,0,0,0,0,0
8,..\Common\Defs\BodyPartDefs\Tier1\Bodyparts.xml,ThingDef,BOR_SolarBionicJaw,solar jaw,"An artificial jaw replacement. Made out of biosynthetic bone, with plasteel tooth replacements and a set of micro servomotors for the full range of motion.",,0,0,3,0,0,0,0,0,10,0,0,0,0,0
9,..\Common\Defs\BodyPartDefs\Tier2\Bodyparts.xml,ThingDef,BOR_QuasarBionicEye,quasar eye,"An advanced artificial eye. With its biogel nerve-link, internal signal pre-processor, and wide-spectrum sensors, it is better than a biological eye in almost every way. A lattice-dust healing system allows it to recover from damage.",,0,0,0,0,0,0,15,0,0,0,4,0,0,0
